sample_id,T_a_C,K_i_kWK,C_i_kJK,l_C,h_C,d_i,Q_i_star_kW,k_star_5zone
433,28.00,0.244,2057,22.0,26.0,0.1487,0.788,1
434,35.43,0.326,3381,22.0,26.0,0.6368,3.375,4
435,23.45,0.289,3923,22.0,26.0,0.0000,0.000,0
436,39.06,0.228,3264,22.0,26.0,0.6187,3.279,4
437,34.40,0.302,4045,22.0,26.0,0.5362,2.842,3
438,18.77,0.257,2550,23.0,25.0,0.0000,0.000,0
439,31.32,0.206,2611,22.0,26.0,0.2633,1.396,2
440,22.27,0.347,2653,23.0,25.0,0.0000,0.000,0
441,42.77,0.249,3102,23.0,25.0,0.8917,4.726,5
442,18.01,0.345,4104,23.0,25.0,0.0000,0.000,0
443,25.98,0.248,3472,23.0,25.0,0.1023,0.542,1
444,36.42,0.330,2130,22.0,26.0,0.7049,3.736,4
445,29.86,0.206,4170,22.0,26.0,0.2063,1.093,2
446,36.06,0.192,1853,23.0,25.0,0.4563,2.419,3
447,20.68,0.193,4197,23.0,25.0,0.0000,0.000,0
448,35.59,0.309,3539,22.0,26.0,0.6153,3.261,4
449,37.84,0.348,3336,23.0,25.0,0.8989,4.764,5
450,47.96,0.328,3515,23.0,25.0,1.0000,5.300,5
451,24.98,0.261,2778,23.0,25.0,0.0556,0.295,1
452,28.25,0.347,1905,22.0,26.0,0.2039,1.081,2
453,27.64,0.267,2761,23.0,25.0,0.1894,1.004,1
454,45.30,0.241,4095,22.0,26.0,0.9351,4.956,5
455,32.87,0.225,3279,22.0,26.0,0.3476,1.842,2
456,27.54,0.185,2264,22.0,26.0,0.1103,0.585,1
457,26.21,0.314,2799,23.0,25.0,0.1282,0.679,1
458,32.10,0.306,3952,23.0,25.0,0.4664,2.472,3
459,41.17,0.202,2421,23.0,25.0,0.6716,3.560,4
460,34.40,0.343,3551,22.0,26.0,0.5997,3.178,3
461,31.85,0.274,2033,23.0,25.0,0.4104,2.175,3
462,31.29,0.250,3835,23.0,25.0,0.3535,1.873,2
463,41.62,0.323,3294,22.0,26.0,1.0000,5.300,5
464,36.80,0.341,3110,23.0,25.0,0.8157,4.323,5
465,38.97,0.279,3472,22.0,26.0,0.7389,3.916,4
466,27.35,0.266,3161,23.0,25.0,0.1745,0.925,1
467,27.82,0.280,4149,23.0,25.0,0.2056,1.090,2
468,21.32,0.284,3534,23.0,25.0,0.0000,0.000,0
469,19.76,0.297,2947,22.0,26.0,0.0000,0.000,0
470,25.39,0.338,3934,23.0,25.0,0.0816,0.432,1
471,28.54,0.192,1989,23.0,25.0,0.1847,0.979,1
472,24.81,0.281,3606,22.0,26.0,0.0000,0.000,0
473,24.21,0.233,2786,23.0,25.0,0.0220,0.117,1
474,21.00,0.278,2586,23.0,25.0,0.0000,0.000,0
475,29.37,0.181,1859,22.0,26.0,0.1719,0.911,1
476,42.21,0.231,4131,22.0,26.0,0.7624,4.041,4
477,23.37,0.230,2703,22.0,26.0,0.0000,0.000,0
478,38.47,0.227,3967,22.0,26.0,0.5898,3.126,3
479,30.94,0.250,2584,22.0,26.0,0.2894,1.534,2
480,25.86,0.182,3697,22.0,26.0,0.0519,0.275,1
481,27.44,0.327,2976,22.0,26.0,0.1456,0.772,1
482,28.20,0.332,3171,22.0,26.0,0.1941,1.029,1
483,41.04,0.344,2261,23.0,25.0,1.0000,5.300,5
484,30.75,0.221,3677,22.0,26.0,0.2551,1.352,2
485,41.97,0.329,3680,23.0,25.0,1.0000,5.300,5
486,41.11,0.237,2494,23.0,25.0,0.7777,4.122,4
487,29.89,0.237,3260,23.0,25.0,0.2753,1.459,2
488,45.76,0.182,4037,22.0,26.0,0.7335,3.888,4
489,22.81,0.212,2220,22.0,26.0,0.0000,0.000,0
490,23.43,0.310,2885,22.0,26.0,0.0000,0.000,0
491,38.82,0.261,2763,22.0,26.0,0.6868,3.640,4
492,36.40,0.246,2049,23.0,25.0,0.5863,3.108,3
493,26.43,0.347,2022,22.0,26.0,0.0846,0.449,1
494,34.00,0.268,2732,23.0,25.0,0.5116,2.712,3
495,18.18,0.334,3088,23.0,25.0,0.0000,0.000,0
496,32.24,0.268,2751,22.0,26.0,0.3717,1.970,2
497,47.75,0.202,3899,23.0,25.0,0.9225,4.889,5
498,35.34,0.330,2660,23.0,25.0,0.7002,3.711,4
499,45.93,0.226,2124,22.0,26.0,0.9081,4.813,5
